"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B"
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",8.1520337088,5.3844252163
6100707,"04/04/2014 08:21:06 AM","U5B","CEREAL_PRD","PSYLLIUM_H","2014001657 PSYLLIUM HUSK","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.244729033,11.191520468
6100707,"04/04/2014 08:21:06 AM","U5B","CEREAL_PRD","PSYLLIUM_H","2014001657 PSYLLIUM HUSK","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.244729033,11.213464124
6101573,"04/04/2014 10:51:24 AM","N8","FAECES","NONE","14.058 DOG 28 WHOLE OATS - LOTUS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",40.127808699,39.764780674
6101573,"04/04/2014 10:51:24 AM","N8","FAECES","NONE","14.058 DOG 28 WHOLE OATS - LOTUS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",40.127808699,40.14602141
6187048,"06/05/2014 08:42:26 AM","TRUMPS","CEREAL_PRD","NONE","73BU - GTG Polenta 1kg","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.0750675608,0.2969445964
6187048,"06/05/2014 08:42:26 AM","TRUMPS","CEREAL_PRD","NONE","73BU - GTG Polenta 1kg","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.0750675608,0.3044074773
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.1062519735,2.9674292132
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.1062519735,2.9907931606
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",2.9674292132,2.9907931606
6300319,"11/06/2014 05:50:26 PM","AUPPDS","CEREAL_PRD","BAKERMEAL","BAKERS MEAL IN140174 Manildra","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.0967236533,1.1143210896
6300319,"11/06/2014 05:50:26 PM","AUPPDS","CEREAL_PRD","BAKERMEAL","BAKERS MEAL IN140174 Manildra","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.0967236533,1.1198922635
6300412,"11/06/2014 06:07:12 PM","AUPPDS","CEREAL_PRD","SOYFLOURF","SOY PROTEIN CONCENTRATE IN 100614 ADM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.9367634633,5.9716157205
6300412,"11/06/2014 06:07:12 PM","AUPPDS","CEREAL_PRD","SOYFLOURF","SOY PROTEIN CONCENTRATE IN 100614 ADM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.9367634633,6.0840140821
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",19.665352438,2.9829318871
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",19.665352438,2.9922594062
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",19.665352438,11.549177141
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",19.665352438,15.717525105
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",19.665352438,17.944785276
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",19.665352438,22.193110141
