"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5870759,"17/01/2014 09:56:40 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8153006884,2014-01-18 09:00:00,1,5870759,"QC-IRM001-5870759",TRUE,"In house standard reference material (batch analysis)","E","",""
5870761,"17/01/2014 09:57:18 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8204789866,2014-01-18 09:00:00,1,5870761,"QC-IRM001-5870761",TRUE,"In house standard reference material (batch analysis)","E","",""
5879135,"20/01/2014 01:24:18 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7885597549,2014-01-21 08:00:00,1,5879135,"QC-IRM001-5879135",TRUE,"In house standard reference material (batch analysis)","E","",""
5879147,"20/01/2014 01:27:30 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8253681996,2014-01-21 08:00:00,1,5879147,"QC-IRM001-5879147",TRUE,"In house standard reference material (batch analysis)","E","",""
5881179,"21/01/2014 09:07:54 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7600740132,2014-01-22 09:00:00,1,5881179,"QC-IRM001-5881179",TRUE,"In house standard reference material (batch analysis)","E","",""
5881210,"21/01/2014 09:12:13 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.785315652,2014-01-22 09:00:00,1,5881210,"QC-IRM001-5881210",TRUE,"In house standard reference material (batch analysis)","E","",""
5888797,"23/01/2014 07:11:06 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8022003855,2014-01-24 08:00:00,1,5888797,"QC-IRM001-5888797",TRUE,"In house standard reference material (batch analysis)","E","",""
5888798,"23/01/2014 07:12:09 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8774637412,2014-01-24 08:00:00,1,5888798,"QC-IRM001-5888798",TRUE,"In house standard reference material (batch analysis)","E","",""
5888802,"23/01/2014 07:14:29 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8517110266,2014-01-23 16:00:00,1,5888802,"QC-IRM001-5888802",TRUE,"In house standard reference material (batch analysis)","E","",""
5888803,"23/01/2014 07:15:04 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8833041107,2014-01-23 16:00:00,1,5888803,"QC-IRM001-5888803",TRUE,"In house standard reference material (batch analysis)","E","",""
5889729,"23/01/2014 10:45:50 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8980565973,2014-01-24 07:00:00,1,5889729,"QC-IRM001-5889729",TRUE,"In house standard reference material (batch analysis)","E","",""
5889754,"23/01/2014 10:52:05 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.9223397694,2014-01-24 07:00:00,1,5889754,"QC-IRM001-5889754",TRUE,"In house standard reference material (batch analysis)","E","",""
5893142,"24/01/2014 07:05:29 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7764271127,2014-01-25 10:00:00,1,5893142,"QC-IRM001-5893142",TRUE,"In house standard reference material (batch analysis)","E","",""
5893157,"24/01/2014 07:07:14 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7649080855,2014-01-25 10:00:00,1,5893157,"QC-IRM001-5893157",TRUE,"In house standard reference material (batch analysis)","E","",""
5893164,"24/01/2014 07:11:12 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8346377684,2014-01-25 10:00:00,1,5893164,"QC-IRM001-5893164",TRUE,"In house standard reference material (batch analysis)","E","",""
5893168,"24/01/2014 07:13:44 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8374055357,2014-01-25 10:00:00,1,5893168,"QC-IRM001-5893168",TRUE,"In house standard reference material (batch analysis)","E","",""
5901431,"28/01/2014 09:48:45 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8366387044,2014-01-29 11:00:00,1,5901431,"QC-IRM001A-5901431",TRUE,"In house standard reference material (batch analysis)","E","",""
